Id,Designator,Package,Quantity,Designation,Supplier and ref
2,"C2,C6,C7,C8,C10,C11,C13,C15,C16,C17,C18,C20,C21",C_0603,13,1u,In house
3,"C3,C5,C9,C12,C14,C19,C22",C_0603,7,0.01u,In house
4,C4,C_0603,1,10u,In house
5,"C1,C23",C_0603,2,0.1u,In house
6,D1,D_0201,1,SMS7630-061,https://www.mouser.com/ProductDetail/Skyworks/SMS7630-061/?qs=%2fha2pyFaduhksNdaBNN8uZ%252bhynGJdCluKEV8xAQ4rswuJBmpAZDa0w%3d%3d
7,"J1,J2,J4",Pin_Header_Straight_1x03_Pitch2.54mm,3,Conn_01x03_Male,Owned
8,"J3,J6",Pin_Header_Straight_1x10_Pitch2.54mm,2,Conn_01x10_Male,Owned
9,J5,Pin_Header_Straight_1x02_Pitch2.54mm,1,Conn_01x02_Male,Owned
10,J7,Pin_Header_Straight_1x01_Pitch2.54mm,1,Conn_01x01_Male,Owned
11,P1,TSSOP-14_4.4x5mm_Pitch0.65mm,1,AD8402ARUZ1,https://www.mouser.com/ProductDetail/Analog-Devices/AD8402ARUZ1/?qs=sGAEpiMZZMuD%2f7PTYBwKqdeb0s0H1yW0d5zIOO3Xcjg%3d
12,"R1,R2,R17,R19,R27",R_0603,5,10k,In house
13,R3,R_0603,1,3.9k,In house
14,"R4,R20,R21,R8,R9",R_0603,5,1k,In house
15,"R5,R6",R_0603,2,510k,
16,R7,R_0603,1,1.3k,
17,"R10,R11",R_0603,2,10,In house
18,"R12,R13",R_0603,2,24k,
19,R14,R_0603,1,250,
20,"R15,R16",R_0603,2,820,In house
21,"R18,R25",R_0603,2,100,In house
22,R22,R_0603,1,287,
23,R23,R_0603,1,2.4k,
24,R24,R_0603,1,470,In house
25,R26,R_0603,1,220,In house
26,SW1,FSM2JSMAATR,1,SW_Push,https://www.mouser.com/ProductDetail/TE-Connectivity/FSM2JSMAATR/?qs=%2fha2pyFaduhLcywUk1qP%2fXWcvvcc26wpyQR0hGeCY06TU5b3vGxz2g%3d%3d
27,U1,TO-220-3_Vertical,1,LD1117V33,https://www.mouser.com/ProductDetail/STMicroelectronics/LD1117V33/?qs=sGAEpiMZZMsGz1a6aV8DcCz10aAT%252bcfyfixmM%2fM6hTA%3d
28,U2,TSSOP-20_4.4x6.5mm_Pitch0.65mm,1,MSP430FR2311IPW20R,https://www.mouser.com/ProductDetail/Texas-Instruments/MSP430FR2311IPW20R/?qs=sGAEpiMZZMsp%252bcahb6g%252bWwUUqJyJs2gcEK8924aIzUVM%252bWhaNT%252bE%2fQ%3d%3d
29,"U3,U4,U5,U6",SOIC-8_3.9x4.9mm_Pitch1.27mm,4,LMH6703MA/NOPB,https://www.mouser.com/ProductDetail/Texas-Instruments/LMH6703MA-NOPB/?qs=sGAEpiMZZMtCHixnSjNA6M%252bbBaCn4IWbaybpip1ej9c%3d
